uid_t,god_name
V099-4,Sanyi jiaozhu
V100-1,Yanggong taishi
V100-2,Fude zhengshen
V100-2,Houtu furen
V100-2,Kuidou xingjun
V100-2,Wenchang dijun
V100-2,Zunzhu mingwang
V100-3,Fude zhengshen
V100-3,Houtu furen
V100-3,Wulu jiangjun
V100-3,Zunzhu mingwang
V100-4,Houtu furen
V100-4,Tianshang shengmu
V100-4,Zunzhu mingwang
V100-5,Houtu furen
V100-5,Zunzhu mingwang
V100-6,Fude zhengshen
V100-6,Houtu furen
V100-6,Zunzhu mingwang
V100-7,Dutian yuanshuai
V100-7,Guangong
V100-7,Guanyin
V100-7,Guanyin dashi
V100-8,Fude zhengshen
V100-9,Chenshi zhenren
V100-10,Daxiong
V100-10,Erxiong
V100-11,Guanyin
V100-11,Guanyin dashi
V100-12,Daxiong
V100-12,Jialan
V100-12,Shijiamouni
V100-12,Weituo
V101-1,Houtu furen
V101-1,Zunzhu mingwang
V101-2,Daxiong
V101-3,Wangmu niangniang
V101-4,Guanyin
V101-4,Guanyin dashi
V101-5,Sanyi jiaozhu
V102-1,Houtu furen
V102-1,Tiangong
V102-1,Tiangong yuanshuai
V102-1,Tianshang shengmu
V102-1,Wulu jiangjun
V102-1,Yanggong taishi
V102-1,Zunzhu mingwang
V102-2,Huiji shenghou
V102-2,Kuidou xingjun
V102-2,Lufu furen
V102-2,Lufu yima
V102-2,Sima shengwang
V102-2,Wenchang dijun
V102-3,Sanfeng zhenren
V102-3,Sanyi jiaozhu
V102-3,Tiangong
V102-3,Tiangong yuanshuai
V102-3,Xietian dadi
V102-3,Zhuozu zhenren
V102-4,Guanyin
V102-4,Guanyin dashi
V102-4,Jialan
V102-4,Weituo
V103-1,Houtu furen
V103-1,Tianshang shengmu
V103-1,Zhanggong shengjun
V103-1,Zhong Kui
V103-1,Zunzhu mingwang
V103-2,Wenchang dijun
V104-1,Houtu furen
V104-1,Sima shengwang
V104-1,Tiangong
V104-1,Tiangong yuanshuai
V104-1,Tianshang shengmu
V104-1,Zhanggong shengjun
V104-1,Zhong Kui
V104-1,Zunzhu mingwang
V104-2,Fude zhengshen
V104-3,Guanyin
V104-3,Guanyin dashi
V104-4,Sanyi jiaozhu
V105-1,Sima shengwang
V105-1,Tiangong
V105-1,Tiangong yuanshuai
V105-1,Xuantian shangdi
V105-1,Zhanggong shengjun
