uid_t,god_name
V084-2,Weituo
V085-2,Guansheng dijun
V085-2,Tiangong
V085-2,Tiangong yuanshuai
V085-2,Wuxian dadi
V085-3,Jialan
V085-3,Weituo
V086-1,Baban
V086-1,Dongyue dadi
V086-1,Gaogong
V086-1,Kanggong yuanshuai
V086-1,Ma yuanshuai
V086-1,Tianshang shengmu
V086-1,"Wen, Kang, Ma, Zhao yuanshuai"
V086-1,Zhaogong yuanshuai
V086-2,Baima shenghou
V086-2,Taohua shengmu
V086-3,Tiangong
V086-3,Tiangong yuanshuai
V086-3,Zhanggong shengjun
V086-3,Zhong Kui
V087-1,Fazhu xianfei
V087-1,Yuhuang dadi
V087-1,Zhanggong shengjun
V087-1,Zhong Kui
V087-7,Yufu zhongjun
V087-9,Taiyi xiangu
V087-9,Tiangong
V087-9,Tiangong yuanshuai
V087-9,Tianshang shengmu
V087-9,Zhanggong shengjun
V087-9,Zhong Kui
V087-12,Cuifu dama
V087-12,Tianshang shengmu
V087-14,Baiya jiangjun
V087-14,Fenghuo ertong
V087-14,Fude zhengshen
V087-14,Lufu furen
V087-14,Taiyi xiangu
V087-14,Tiangong
V087-14,Tiangong yuanshuai
V087-15,Guanyin
V087-15,Guanyin dashi
V087-15,Jialuo dasheng
V087-15,Taiyi xiangu
V087-15,Xuantian shangdi
V087-16,Puhua tianzun
V087-16,Qianshi shengfei
V087-16,Xietian dadi
V087-16,Xuantan yuanshuai
V087-16,Xuantian shangdi
V087-16,Zhanggong shengjun
V087-16,Zhong Kui
V088-1,Qitian dasheng
V088-1,Sima shengwang
V088-1,Wencao
V088-2,Ciji zhenjun
V088-2,Lufu furen
V088-2,Lufu yima
V088-2,Xuantian shangdi
V089-1,Liugong yuanshuai
V089-1,Tiangong
V089-1,Tiangong yuanshuai
V089-1,Xieshun shenghou
V089-1,Zhanggong shengjun
V089-1,Zhong Kui
V090-1,Dutian yuanshuai
V090-1,Jixiang dajiang
V090-1,Sima shenghou
V090-1,Taiyi xiangu
V090-2,Sanfeng zhenren
V090-2,Zhuoshi zhenren
V091-1,Guanyin
V091-1,Guanyin dashi
V091-1,Sanye
V091-1,Siye
V091-3,Dutian yuanshuai
V091-3,Sanguan dadi
V092-1,Sima shengwang
V092-1,Xuantian shangdi
V092-1,Yanggong taishi
V092-1,Zhanggong shengjun
V092-1,Zhong Kui
V093-1,Huanggong
V093-1,Huanggong dashi
V093-1,Sima shengwang
V093-1,Taiyi xiangu
V093-1,Tianshang shengmu
V093-1,Zhanggong shengjun
V093-1,Zhong Kui
V093-2,Fenghuo ertong
V093-2,Lingya jiangjun
V093-4,Lufu furen
V093-4,Lufu yima
V093-4,Qitian dasheng
V094-1,Kuidou xingjun
V094-1,Lufu furen
V094-1,Lufu yima
V094-1,Sima shengwang
V094-1,Wenchang dijun
V094-1,Zhanggong shengjun
V094-1,Zhong Kui
V094-2,Kuidou xingjun
V094-3,Lufu furen
V094-3,Lufu yima
V094-3,Siye
V094-4,Zhang Sanfeng
V094-5,Guansheng dijun
V094-5,Weituo
V094-5,Weituo zunzhe
V099-4,Guanyin
V099-4,Guanyin dashi
V099-4,Lin Zhenming
V100-1,Tiangong
V100-1,Tiangong yuanshuai
V100-1,Yanggong taishi
V100-1,Yang Jiye
V101-1,Sima shengwang
V101-1,Tianshang shengmu
V101-1,Zhanggong shengjun
V101-1,Zhong Kui
V101-3,Lufu furen
V101-3,Lufu yima
V101-3,Tianshang shengmu
V117-1,Sima shengwang
V117-1,Wanggong shenghou
V130-1,Guanyin
V130-1,Guanyin dashi
V130-1,Huiqing xianshi
V130-1,Lu Wenhui
V130-1,Sanguan dadi
V130-1,Shijiamouni
V130-1,Weituo
V130-1,Wenchang dijun
V130-1,Xuantian shangdi
V130-1,Yanggong taishi
V130-1,Zhang Hongdu
V132-1,Ligong yuanshuai
V132-1,Liugong yuanshuai
V132-1,Nezha taizi
V132-1,Taiyi xiangu
V132-1,Wuhu jialuo
V132-1,Zhanggong shengjun
V132-1,Zhong Kui
V136-2,Tiangong
V136-2,Tiangong yuanshuai
V136-2,Tianshang shengmu
V136-5,Zhang Sanfeng
V139-12,Lufu furen
V139-12,Lufu yima
V139-12,Tianshang shengmu
V140-1,Banshan daxian
V140-1,Houtu furen
V140-1,Ligong zhangzhe
V140-1,Miaoying zushi
V140-1,Tianshang shengmu
V140-1,Yanggong taishi
V140-1,Zhanggong shengjun
V140-1,Zhong Kui
V140-1,Zunzhu mingwang
V140-2,Baban
V140-3,Jialan
V140-3,Lufu furen
V140-3,Lufu xianggong
V140-3,Weituo
V140-4,Bai daren
V140-4,Jiang daren
V140-7,Lufu yima
V141-1,Chenshi zhenren
V141-1,Guansheng dijun
V141-1,Guanyin
V141-1,Guanyin dashi
V141-1,Ligong zhangzhe
V141-1,Qitian dasheng
V141-1,Sugong ershi
V141-1,Tianshang shengmu
V141-1,Weituo
V141-1,Weituo zuntian
V141-1,Wenwu liesheng
V141-1,Yuantian shangdi
V141-2,Guanyin
V141-2,Guanyin dashi
V141-2,Jialan
V141-2,Jialan pusa
V141-2,Weituo
V141-2,Weituo zunzhe
V141-2,Xietian dadi
V141-2,Yanggong taishi
V141-2,Zhanggong shengjun
V141-2,Zhong Kui
V141-4,Guansheng dijun
V141-4,Guanyin
V141-4,Guanyin dashi
V141-4,Lingguan dadi
V141-4,Lufu furen
V141-4,Lufu xianggong
V141-4,Sanfeng zhenren
V141-4,Tiangong
V141-4,Tiangong yuanshuai
V141-4,Weituo
V141-4,Weituo zuntian
V141-4,Xuantan yuanshuai
V141-4,Xuantian shangdi
V141-4,Zhuozu zhenren
V141-8,Jialan
V141-8,Weituo
V141-10,Guanyin
V141-10,Guanyin dashi
V141-10,Sanguan dadi
V141-10,Tiangong
V141-10,Tiangong yuanshuai
V141-10,Xuantan yuanshuai
V141-10,Xuantian shangdi
V141-11,Hufa longtian
V143-8,Jialan
V143-8,Jialan pusa
V143-8,Xietian dadi
V143-9,Chensheng hufa
V143-9,Guansheng dijun
V143-9,Guanyin
V143-9,Guanyin dashi
V143-9,Tiangong
V143-9,Tiangong yuanshuai
V143-9,Wenchang dijun
V143-9,Wuxian dadi
V143-9,Xietian dadi
V143-9,Xuantian shangdi
V143-9,Yushu dadi
V143-9,Zhang Sanfeng
V152-2,Wulu jiangjun
V152-3,Jialan
V152-3,Weituo
V153-1,Ligong zhangzhe
V153-1,Qianshi shengfei
V153-2,Tiangong
V153-2,Tiangong yuanshuai
V153-2,Weituo
V153-2,Weituo zunzhe
V154-1,Qianshi shengfei
V154-1,Zhanggong shengjun
V154-1,Zhong Kui
V155-1,Bajiang
V155-2,Fude zhengshen
V155-3,Jialan
V155-3,Weituo
V156-2,Ligong zhangzhe
V156-2,Qianshi shengfei
V157-1,Wulu jiangjun
V157-1,Yanggong taishi
V157-2,Xuantian shangdi
V158-1,Fude zhengshen
V158-1,Qitian dasheng
V158-1,Sima shengwang
V158-1,Zhanggong shengjun
V158-1,Zhong Kui
V158-1,Zhongtian dasheng
V158-2,Daye
V158-2,Tiangong
V158-2,Tiangong yuanshuai
V158-2,Xuantan yuanshuai
V159-1,Fude zhengshen
V159-1,Taiyi xiangu
V161-1,Chenshi zhenren
V161-1,Tiangong
V161-1,Tiangong yuanshuai
V161-2,Guanyin
V161-2,Guanyin dashi
V161-2,Sanyi jiaozhu
V161-3,Baima jiangjun
V161-3,Chima jiangjun
V161-3,Lingya jiangjun
V161-3,Magong taishi
V161-3,Tiangong
V161-3,Tiangong yuanshuai
V161-3,Tiegong yuanshuai
V161-4,Lufu furen
V161-4,Lufu xianggong
V161-4,Lufu yima
V161-4,Wubu yuanshuai
V161-5,Ciji zhenjun
V161-5,Qianshi shengfei
V161-5,Tianshang shengmu
V161-6,Jialan
V161-6,Weituo
V161-8,Jialan
V161-8,Weituo
V161-9,Sanguan dadi
V161-9,Wenwu liesheng
V163-1,Bajiang
V163-1,Guanyin
V163-1,Guanyin dashi
V163-1,Magong taishi
V163-1,Puhua tianzun
V163-1,Tiangong
V163-1,Tiangong yuanshuai
V163-1,Tiegong taishi
V163-2,Qitian dasheng
V163-2,Wulu jiangjun
V163-7,Beidou xingjun
V163-7,Nandou xingjun
V164-1,Bajiang
V164-2,Wenchang dijun
V164-3,Ciji zhenjun
V164-3,Ligong zhangzhe
V164-3,Lufu yima
V164-3,Shuntian shengmu
V164-3,Zhanggong shengjun
V164-3,Zhong Kui
V164-6,Jialan
